11111;Employé de ménage à domicile;SERVICE MAISON 42079
11112;Intervenant à domicile;AUXILIAIRE MENAGERE 44019$AUXILIAIRE VIE 44028
11113;Intervenant auprès d'enfants;ASSISTANCE MATERNELLE 44030$AUXILIAIRE PUERICULTURE 44051$ENFANCE 44042
11121;Assistant en cabinet médical;ASSISTANCE DENTAIRE 43485
11122;Agent de service de collectivité;AGENT SERVICE HOSPITALIER 43429$BRANCARDIER 43413$EMPLOYE COLLECTIVITE 42069
11131;Assistant de coiffure;ASSISTANCE COIFFURE 42060
11132;Coiffeur;COIFFURE 42050$SPECIALISATION COIFFURE 42061
11133;Esthéticien-cosméticien;ESTHETIQUE SOIN CORPOREL 42032$MANUCURE 42030
11141;Employé technique des services funéraires;SERVICE FUNERAIRE 42057
11151;Auxiliaire de soins aux animaux;TOILETTAGE 42003
11211;Nettoyeur de locaux et de surfaces;ENTRETIEN SOL 42083$NETTOYAGE LOCAUX 42093
11212;Laveur de vitres spécialisé;ENTRETIEN VITRE 42084
11213;Agent d'entretien et de nettoyage urbain;AMENAGEMENT EQUIPEMENT COLLECTIF 12503
11214;Agent d'entretien et d'assainissement;NETTOYAGE LOCAUX 42093$RAMASSAGE DECHET MENAGER 31782
11221;Agent de gardiennage et d'entretien;GARDIENNAGE IMMEUBLE 42810
11222;Agent de sécurité et de surveillance;MAITRE CHIEN 42824$PREVENTION SECURITE 42854$SECURITE BANCAIRE 41050$SECURITE ERP 42850$SECURITE TRANSPORT 31875$SURVEILLANCE GARDIENNAGE 42822$SURVEILLANCE MAGASIN 42820$VEILLEUR NUIT 44005
11311;Agent de la sécurité et de l'ordre public;POLICE GENDARMERIE 42837$POMPIER 42880
11312;Technicien de la sécurité et de l'ordre public;POLICE GENDARMERIE 42837
12111;Distributeur messagerie;MESSAGERIE 31731
12112;Agent d'accueil;ACCUEIL 35052$ACCUEIL TOURISME 42686$ENTRETIEN TELEPHONIQUE 35050$STANDARD 35082
12113;Agent d'enquêtes;ETUDE MARCHE 34060$SONDAGE 11029
12121;Agent administratif d'entreprise;CLASSEMENT 35091$MAITRISE 32010$RELANCE IMPAYES 34058$TECHNIQUE ADMINISTRATIVE 35071
12122;Transcripteur dactylographe;AUDIOTYPIE 35003$CORRESPONDANCE COMMERCIALE 35029$CORRESPONDANCE PROFESSIONNELLE 35093$DACTYLOGRAPHIE 35012$ECRITURE ABREGEE 35041$STENODACTYLOGRAPHIE 35032$STENOGRAPHIE 35021$STENOGRAPHIE ETRANGERE 35010$STENOTYPIE 35030
12131;Secrétaire bureautique polyvalent;BUREAUTIQUE 35066$DACTYLOGRAPHIE 35012$SECRETARIAT ASSISTANCE 35054$SECRETARIAT MULTILINGUE 35018$SECRETARIAT PME-PMI 35007$TELESECRETARIAT 35056
12132;Secrétaire bureautique spécialisé;ASSISTANCE EXPORT 34279$ASSISTANCE MARKETING 34042$SECRETARIAT COMMERCE INTERNATIONAL 35019$SECRETARIAT COMMERCIAL 35028$SECRETARIAT COMPTABLE 35049$SECRETARIAT FORMATION 35004$SECRETARIAT JURIDIQUE 35006$SECRETARIAT MEDICOSOCIAL 35015$SECRETARIAT RESSOURCES HUMAINES 35014$SECRETARIAT SPECIALISE 35035$SECRETARIAT TECHNIQUE 35039
12133;Assistant de direction;ASSISTANCE DIRECTION 35047
12141;Technicien des services administratifs;ADMINISTRATION PERSONNEL 33052$COMPTABILITE CHARGES PERSONNEL 32688
12142;Technicien des services comptables;COMPTABILITE CHARGES PERSONNEL 32688$COMPTABILITE GENERALE 32667$IMPRIME FISCAL 13326$LIASSE FISCALE 13307$RESULTAT FISCAL 13393$TAXE APPRENTISSAGE 13398$TAXE EFFORT CONSTRUCTION 13396$TAXE FORMATION PROFESSIONNELLE 13397$TAXE PROFESSIONNELLE 13379$TAXE SUR SALAIRE 13386$TVA 13389$TVA INTRACOMMUNAUTAIRE 13378
12151;Agent d'application des règles financières publiques;CONTROLE FISCAL 13324$CONTROLE GESTION PUBLIQUE 13110$CONTROLE URSSAF 13303$DOUANE 31858$DROIT FISCAL 13354$GESTION PUBLIQUE 13121
12152;Contrôleur de la régularité des finances publiques;CONTROLE FISCAL 13324$CONTROLE GESTION PUBLIQUE 13110$GESTION PUBLIQUE 13121$IMPOT FORTUNE 13360$IMPOT REVENU 13371
12153;Contrôleur de l'utilisation des fonds publics;CONTROLE GESTION PUBLIQUE 13110$GESTION PUBLIQUE 13121
12161;Agent administratif des services au public;FONCTION PUBLIQUE 13041
12162;Contrôleur de la défense des droits des personnes;FONCTION PUBLIQUE 13041
12163;Technicien administratif des services au public;FONCTION PUBLIQUE 13041
12211;Agent administratif des opérations bancaires;CREDIT DOCUMENTAIRE 34205$SERVICE BANCAIRE 41075
12212;Agent de banque contact clientèle;CLIENTELE PARTICULIER 41083
12213;Conseiller de clientèle bancaire;CLIENTELE PARTICULIER 41083
12221;Agent administratif d'assurances;ASSURANCE 41036
12222;Rédacteur juridique en assurances;ASSURANCE BIENS PARTICULIER 41058$ASSURANCE CONSTRUCTION 41006$ASSURANCE DOMMAGES 41028$DROIT ASSURANCE 41039
12223;Conseiller en assurances;ASSURANCE 41036
12224;Technicien souscripteur d'assurances;ASSURANCE BIENS PARTICULIER 41058$ASSURANCE CONSTRUCTION 41006$ASSURANCE DOMMAGES 41028$ASSURANCE VIE 41069
12231;Chargé de groupe d'immeubles;GESTION IMMOBILIERE 42133$GESTION LOCATIVE 42121
12241;Technicien de vente du tourisme et du transport;AGENCE VOYAGE 42677$BILLETTERIE 42679
12242;Technicien de production du tourisme;CONCEPTION PRODUIT TOURISTIQUE 42648
13111;Employé d'étage;LINGERIE 42087$SERVICE ETAGE 42786
13121;Employé du hall;SERVICE HALL 42778
13122;Réceptionniste en établissement hôtelier;ACCUEIL TOURISME 42686$CAMPING CARAVANING 42619$SERVICE RECEPTION 42788
13131;Gouvernant en établissement hôtelier;GESTION ENTREPRISE TOURISTIQUE 42627$GOUVERNANTE HOTEL 42797
13132;Concierge d'hôtel;SERVICE HALL 42778
13133;Chef de réception;SERVICE RECEPTION 42788
13134;Directeur d'hébergement;GESTION HOTEL RESTAURANT 42766
13135;Exploitant d'hôtel;GESTION HOTEL RESTAURANT 42766
13211;Aide de cuisine;ECAILLER 42759$ENTRETIEN CUISINE 42780
13212;Cuisinier;CUISINE 42752$CUISINE COLLECTIVITE 42708$CUISINE DESSERT 42710$CUISINE EXOTIQUE 42720$CUISINE POISSON 42712$CUISINE REGIONALE 42730$CUISINE SAUCE 42701$CUISINE SPECIALISATION 42742$CUISINE VIANDE 42740
13221;Employé polyvalent de restauration;RESTAURATION 42746
13222;Serveur en restauration;SERVICE SALLE 42757
13223;Sommelier;DEGUSTATION VIN 21511$SOMMELLERIE 42739
13224;Barman;BAR 42723
13231;Chef de cuisine;CUISINE 42752
13232;Maître d'hôtel;MAITRE D'HOTEL 42769
13233;Responsable de restauration de collectivité;CUISINE COLLECTIVITE 42708$GESTION RESTAURATION COLLECTIVE 42729
13234;Directeur de restaurant;GESTION HOTEL RESTAURANT 42766
13235;Exploitant de restaurant;GESTION HOTEL RESTAURANT 42766$RESTAURATION 42746
13311;Employé de café, bar-brasserie;CAFE BRASSERIE 42716
13321;Exploitant de café, bar-brasserie;CAFE BRASSERIE 42716
14111;Employé de libre-service;LIBRE-SERVICE 34549
14112;Hôte de caisse de libre-service;CAISSE 34589$LIBRE-SERVICE 34549
14113;Chef de rayon produits frais;GESTION RAYON 34559$VENTE PRODUIT ALIMENTAIRE 34525
14114;Chef de rayon hors produits frais;GESTION RAYON 34559
14115;Responsable de caisses;CAISSE 34589
14121;Caissier;CAISSE 34589
14122;Animateur de vente;ANIMATION VENTE 34584
14123;Employé de station-service;VENTE DISTRIBUTION 34566
14211;Vendeur en produits frais (commerce de gros);COMMERCE GROS 34575
14212;Vendeur en produits frais (commerce de détail);VENTE FRUIT LEGUME 34504$VENTE PRODUIT ALIMENTAIRE 34525$VENTE PRODUIT CARNE 34505$VENTE PRODUIT LAITIER 34516$VENTE PRODUIT MER 34506
14213;Vendeur en alimentation générale;VENTE PRODUIT ALIMENTAIRE 34525$VENTE VIN SPIRITUEUX 34513
14221;Vendeur en produits utilitaires (outillage, bricolage, droguerie ...);VENTE DISTRIBUTION 34566$VENTE PRODUIT HORTICOLE 34534
14222;Vendeur en équipement du foyer;VENTE DISTRIBUTION 34566$VENTE EQUIPEMENT MAISON 34536
14223;Vendeur en équipement de la personne;COMMERCIALISATION HABILLEMENT 21762$VENTE DISTRIBUTION 34566
14224;Vendeur en articles de sport et de loisirs de plein air;MATERIEL SPORT 15447$VENTE DISTRIBUTION 34566
14225;Vendeur en produits culturels et ludiques;LIBRAIRIE 46329$VENTE DISTRIBUTION 34566
14226;Vendeur en articles de luxe (non alimentaires);PARFUMERIE 42040$VENTE DISTRIBUTION 34566$VENTE EN ANIMALERIE 42004
14227;Fleuriste;VENTE PRODUIT HORTICOLE 34534
14228;Antiquaire;COMMERCE ART 45075
14231;Télévendeur;VENTE PAR TELEPHONE 34501
14232;Technicien de la vente à distance;VENTE PAR CORRESPONDANCE 34520
14311;Attaché commercial en biens d'équipement professionnels;COMMERCIALISATION AGRICOLE 21084$VRP 34560
14312;Attaché commercial en biens intermédiaires et matières premières;VRP 34560
14313;Attaché commercial en biens de consommation auprès des entreprises;COMMERCIALISATION HABILLEMENT 21762$VRP 34560
14314;Attaché commercial en services auprès des entreprises;VRP 34560
14321;Représentant à domicile;VRP 34560
14322;Représentant en véhicules;VENTE AUTOMOBILE 34517
21111;Artiste plasticien;ART PLASTIQUE 45066$DESSIN ART 45057$ICONE 45099$LITHOGRAPHIE 45089$PEINTURE ART 45098$SCULPTURE 45076$SCULPTURE BOIS 45096$SCULPTURE PIERRE 45097
21112;Auteur-écrivain;CALLIGRAPHIE 46092$LITTERATURE 14261
21121;Stylicien industriel;AMEUBLEMENT 45019$CREATION TEXTILE 21627$DAO 31685$ESTHETIQUE INDUSTRIELLE 45006
21122;Aménageur d'espace intérieur;ARCHITECTURE INTERIEURE 45015$ETALAGE 34519
21131;Photographe;PHOTOGRAPHIE 46278
21211;Artiste dramatique;ART DRAMATIQUE 45022$EXPRESSION THEATRALE 45003
21212;Artiste de la musique et du chant;CHANT 45083$CHANT CHORAL 45093$DIRECTION ORCHESTRE 45072$MUSIQUE 45073$PRATIQUE INSTRUMENTALE 45082
21213;Artiste de la danse;CHOREGRAPHIE 45080$DANSE 45071$DANSE TRADITIONNELLE 45091
21214;Artiste du cirque et du music-hall;CIRQUE 45020$MARIONNETTE 45010$MIME 45002
21215;Professionnel de la mise en scène et de la réalisation;CINEMA 46274$MISE EN SCENE 45050$TECHNIQUE SPECTACLE 45042
21216;Animateur-présentateur;TECHNIQUE SPECTACLE 45042
21217;Présentateur de modèles;MANNEQUIN 21788
21221;Professionnel du son;MIXAGE 46225$SON 46236
21222;Professionnel de l'image;MATERIEL AUDIOVISUEL 46233
21223;Professionnel de l'éclairage;ECLAIRAGISME 46247
21224;Professionnel du décor et des accessoires;DECOR SPECTACLE 45040$SPECTACLE PYROTECHNIQUE 45034
21225;Professionnel du costume et de l'habillage;COSTUME SCENE 21794
21226;Professionnel de la coiffure et du maquillage;COIFFURE 42050$MAQUILLAGE 42052$MAQUILLAGE SPECTACLE 42062$SPECIALISATION COIFFURE 42061
21227;Professionnel du montage de l'image et du son;MONTAGE AUDIOVISUEL 46269$MONTAGE POSTPRODUCTION 46267
21231;Professionnel de la production des spectacles;GESTION PRODUCTION AUDIOVISUELLE 46244$GESTION SPECTACLE 45052$RADIO 46245$REGIE SPECTACLE 45060
21232;Agent de promotion des artistes;TECHNIQUE SPECTACLE 45042
21241;Opérateur d'attractions;TECHNIQUE SPECTACLE 45042
21242;Employé des jeux;CASINO 42077
21243;Exploitant d'équipement de loisirs et de sport;GESTION SPORT 15457$INSTALLATION SPORTIVE 15448
22111;Enseignant des écoles;FORMATION FORMATEUR 44586
22121;Enseignant d'enseignement général;FORMATION FORMATEUR 44586
22122;Enseignant d'enseignement technique (agricole, professionnel, technologique);FORMATION FORMATEUR 44586
22131;Enseignant chercheur;FORMATION FORMATEUR 44586
22141;Personnel d'éducation et de surveillance d'établissement d'enseignement;PEDAGOGIE 44542
22142;Administrateur d'école maternelle ou primaire;PEDAGOGIE 44542
22143;Administrateur d'établissement d'enseignement secondaire et supérieur;PEDAGOGIE 44542
22151;Inspecteur de l'enseignement;PEDAGOGIE 44542
22211;Formateur;DIDACTIQUE LANGUE 44515$FORMATION FORMATEUR 44586$FORMATION FORMATEUR AGROALIMENTAIRE 21542$FORMATION FORMATEUR ART 45085$FORMATION FORMATEUR BANQUE ASSURANCE 41020$FORMATION FORMATEUR COMMERCIAL 34574$FORMATION FORMATEUR HOTELLERIE RESTAURATION 42785$FORMATION FORMATEUR INFORMATIQUE 31092$FORMATION FORMATEUR OCCASIONNEL 44577$FORMATION FORMATEUR QUALITE 31382$FORMATION FORMATEUR SECURITE 42856$FORMATION FORMATEUR SPECIALISE 44587$FORMATION FORMATEUR TRANSPORT 31873$FORMATION FORMATEUR TRAVAIL SOCIAL 44071$TUTORAT ENTREPRISE 44588
22212;Conseiller en formation;CONSEIL FORMATION 44589$TEST PSYCHOLOGIQUE 14492
22213;Responsable pédagogique;EVALUATION FORMATION 44539
22214;Consultant en formation;CONSEIL FORMATION 44589
22215;Concepteur-organisateur en formation;CONCEPTION ACTION FORMATION 44517$INGENIERIE FORMATION 44557
22221;Instructeur en conduite de véhicules à moteur;INSTRUCTION PILOTE 31898$MONITORAT AUTO-ECOLE 31802$MONITORAT MANUTENTION 31793
23111;Informateur social;PREVENTION EDUCATION SANTE 44074
23112;Intervenant d'action sociale;ANIMATION PERSONNE HANDICAPEE 44079$ANIMATION TROISIEME AGE 44089$ASSISTANT SOCIAL 44083$CONSEIL FAMILIAL CONJUGAL 44007$CONSEILLER TRAVAIL 44094$ECONOMIE FAMILIALE RURALE 44095$ECONOMIE SOCIALE FAMILIALE 44084$FAMILLE 44026$MEDIATION SOCIOCULTURELLE 44035
23121;Chargé de protection des biens et des personnes;DELEGATION TUTELLE 44080
23131;Animateur généraliste de loisirs;ANIMATION TOURISME 42623$GESTION ENTREPRISE TOURISTIQUE 42627$PARC LOISIR 42608
23132;Animateur spécialiste d'activités culturelles et techniques;ANIMATION SOCIOCULTURELLE 44067$TOURISME CULTUREL 42651
23133;Animateur spécialiste d'activités sportives;ACTIVITE PHYSIQUE POUR TOUS 15466$ALPINISME 15410$EDUCATION NATATION 15490$EDUCATION SPORTIVE 15436$REMISE EN FORME 15477$TOURISME MONTAGNE 42692$TOURISME SPORTIF 42632
23141;Professionnel d'activités sportives;ACTIVITE PHYSIQUE ET SPORTIVE 15454
23151;Educateur-intervenant éducatif;EDUCATEUR JEUNE ENFANT 44050$EDUCATEUR SPECIALISE 44092$EDUCATION POPULAIRE 44069$EDUCATION SURVEILLEE 44061$MEDIATION SOCIOCULTURELLE 44035$PREVENTION SOCIALE 44091$TRAVAIL SOCIAL 44072
23211;Conseiller en développement local;DEVELOPPEMENT LOCAL 12523
23221;Conseiller en emploi et insertion professionnelle;CONSEIL INSERTION PROFESSIONNELLE 44569$TECHNIQUE ORIENTATION PROFESSIONNELLE 44595
24111;Aide-soignant;AIDE SOIGNANT 43436
24121;Infirmier généraliste;INFIRMIER 43448
24122;Infirmier de service spécialisé;INFIRMIER PSYCHIATRIQUE 43459$INFIRMIER REANIMATION 43457$INFIRMIER SALLE OPERATION 43449$PUERICULTURE 43439
24131;Cadre des services paramédicaux;ENCADREMENT INFIRMIER 43458
24211;Technicien en imagerie médicale;MANIPULATION ELECTRORADIOLOGIQUE 43497
24212;Technicien de laboratoire d'analyses médicales;ANALYSE MEDICALE 43476$TRANSFUSION SANGUINE 43469
24213;Préparateur en pharmacie;PREPARATION PHARMACIE 43006
24221;Conseiller en information médicale;VISITEUR MEDICAL 34580
24311;Masseur kinésithérapeute;KINESITHERAPIE 43490
24312;Ergothérapeute;ERGOTHERAPIE 43491
24313;Psychomotricien;PSYCHOMOTRICITE 43470
24314;Orthophoniste;ORTHOPHONIE 43480
24315;Orthoptiste;OPHTALMOLOGIE 43071
24316;Pédicure-podologue;PODOLOGIE PEDICURIE 43493
24317;Diététicien;DIETETIQUE 43440
24321;Audioprothésiste;AUDIOPROTHESE 43495
24322;Opticien-lunetier;OPTIQUE LUNETTERIE 43486
24323;Prothésiste dentaire;PROTHESE DENTAIRE 43494
24324;Prothésiste-orthésiste;ORTHOPEDIE 43460$PODO-ORTHESE 21859$PROTHESE 43484
31111;Médecin praticien;ALLERGOLOGIE 43058$ANESTHESIE REANIMATION 43094$CARDIOLOGIE 43085$CHIRURGIE 43021$DERMATOLOGIE 43089$ENDOCRINOLOGIE 43090$GASTRO-ENTEROLOGIE 43097$GYNECOLOGIE OBSTETRIQUE 43083$HEMATOLOGIE 43099$HEPATOLOGIE 43093$IMAGERIE MEDICALE 43061$MEDECINE 43054$MEDECINE EXOTIQUE 43091$MEDECINE GENERALE 43042$MEDECINE SPORTIVE 43019$MEDECINE THERMALE 43029$MEDECINE TRAVAIL 43008$MICROCHIRURGIE 43030$NEUROCHIRURGIE 43010$NEUROLOGIE 43057$OPHTALMOLOGIE 43071$ORL 43080$PEDIATRIE 43069$PNEUMOLOGIE 43096$PSYCHIATRIE 43048$RHUMATOLOGIE 43095$STOMATOLOGIE 43040$URGENCE MEDICALE 43046$UROLOGIE 43098
31112;Chirurgien dentiste;CHIRURGIE DENTAIRE 43050$ODONTOLOGIE 43051
31113;Psychologue clinicien;PSYCHANALYSE 14475$PSYCHOLOGIE 14454$PSYCHOLOGIE ENFANT ADOLESCENT 14420$PSYCHOPATHOLOGIE 14414$PSYCHOTHERAPIE 14456
31114;Sage-femme;SAGE-FEMME 43092
31121;Spécialiste conseil de la santé publique;POLITIQUE SANTE 13038
31131;Vétérinaire;MEDECINE VETERINAIRE 21018
31211;Biologiste médical;ANALYSE MEDICALE 43476
31221;Pharmacien;PHARMACIE 43026
32111;Cadre de la comptabilité;IMPRIME FISCAL 13326$LIASSE FISCALE 13307$PLUS VALUE 13313$REGIME IMPOSITION 13392$RESULTAT FISCAL 13393$TAXE APPRENTISSAGE 13398$TAXE EFFORT CONSTRUCTION 13396$TAXE FORMATION PROFESSIONNELLE 13397$TAXE PROFESSIONNELLE 13379$TAXE SUR SALAIRE 13386$TVA 13389$TVA INTRACOMMUNAUTAIRE 13378
32112;Cadre de l'audit et du contrôle comptable et financier;ANALYSE FINANCIERE 32626$AUDIT COMPTABILITE 32695$AUDIT ENTREPRISE 32098$COMPTABILITE 32663$CONTROLE GESTION 32652$EXPERTISE COMPTABLE 32684$GESTION FINANCIERE 32654
32113;Responsable administratif et financier;GESTION BUDGETAIRE 32650
32114;Cadre financier spécialisé;FINANCEMENT INTERNATIONAL 34236$TRESORERIE 32611
32115;Analyste de gestion;AUDIT ENTREPRISE 32098$CONTROLE GESTION 32652
32121;Cadre de la gestion des ressources humaines;ADMINISTRATION PERSONNEL 33052$AUDIT RESSOURCES HUMAINES 33035$GESTION PREVISIONNELLE EMPLOIS COMPETENCES 33091$GRAPHOLOGIE 14493$RECRUTEMENT 33060$RESSOURCES HUMAINES 33054$TEST PSYCHOLOGIQUE 14492
32122;Responsable de formation en entreprise;RESPONSABLE FORMATION 44528
32131;Responsable en organisation;DIRECTION ENTREPRISE 32054$GESTION ENTREPRISE 32076
